Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Placing time,Closing time,Level ID
CME_MINI:MNQ1!,Sell,Market,4,,,29723,Filled,2026-06-08 09:17:36,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Market,1,,,29731.5,Filled,2026-06-08 09:16:40,2026-06-08 09:16:40,
CME_MINI:MNQ1!,Sell,Market,1,,,29728,Filled,2026-06-08 09:16:24,2026-06-08 09:16:24,
CME_MINI:MNQ1!,Sell,Market,1,,,29728,Filled,2026-06-08 09:16:03,2026-06-08 09:16:03,
CME_MINI:MNQ1!,Buy,Market,7,,,29725.25,Filled,2026-06-08 09:14:05,2026-06-08 09:14:05,
CME_MINI:MNQ1!,Sell,Stop,4,,29708.5,,Cancelled,2026-06-08 09:14:05,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Limit,4,29742.25,,,Cancelled,2026-06-08 09:14:05,2026-06-08 09:17:36,
CME_MINI:MNQ1!,Sell,Market,10,,,29726.5,Filled,2026-06-08 09:13:55,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Buy,Market,10,,,29723,Filled,2026-06-08 09:13:41,2026-06-08 09:13:41,
CME_MINI:MNQ1!,Sell,Stop,10,,29712.75,,Cancelled,2026-06-08 09:13:41,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Sell,Limit,10,29733.25,,,Cancelled,2026-06-08 09:13:41,2026-06-08 09:13:55,
CME_MINI:MNQ1!,Sell,Stop,2,,30301.5,,Cancelled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Buy,Market,2,,,30314.5,Filled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Sell,Limit,2,30331.5,,,Cancelled,2026-06-04 08:48:03,2026-06-04 08:48:03,
CME_MINI:MNQ1!,Buy,Market,2,,,30326.5,Filled,2026-06-04 08:47:36,2026-06-04 08:47:36,
CME_MINI:MNQ1!,Buy,Market,2,,,30324.75,Filled,2026-06-04 08:47:26,2026-06-04 08:47:26,
CME_MINI:MNQ1!,Buy,Market,2,,,30331.5,Filled,2026-06-04 08:47:15,2026-06-04 08:47:15,
CME_MINI:MNQ1!,Sell,Market,2,,,30329,Filled,2026-06-04 08:47:01,2026-06-04 08:47:01,
